Name,Aliases,Address,PhoneNumber,Extension,Fax
Auckland Cars,,"Corner Leonard and Penrose Rds PO Box 12300 Penrose, Penrose, Auckland",,9000,09 580 9812
Auckland Damaged & EOL,,"133 Roscommon Rd, Wiri, Auckland",09 580 9330,,09 580 9319
Auckland C&I,"Auckland General Goods,  Auckland COF & Inspections","68 Gavin Street PO Box 12015 Penrose, Penrose, Auckland",09 580 9316,,09 580 9318
AutoInspect (EOT),,"Corner Leonard and Penrose Rds PO Box 12300 Penrose, Penrose, Auckland",09 525 4067,,09 525 4067
Christchurch Cars,,"PO Box 22616 1 Detroit Place, Christchurch",03 343 9850,3652,03 348 0298
Christchurch Damaged & EOL,,"12 Curries Road, Hillsborough, Christchurch",03 341 3671,,
Christchurch General Goods,,"1 Detroit Place, Christchurch",03 341 3673,,
Christchurch Trucks,,"57 Lunns Rd, Middleton, Christchurch",03 341 3785,,
Dunedin,,"Cnr Midland Street & Portsmouth Drive, 94 Portsmouth Drive, Dunedin",03 455 5556,,
Hamilton,,"112 Avalon Drive, Hamilton  PO Box 1512 Hamilton 3240",,7291,
Hamilton Trucks,,"29 Gilchrist Street, Hamilton",,,
Invercargill,,"26 North Rd, Prestonville",,,
IT & Marketing,,"Corner Leonard and Penrose Rds PO Box 12300 Penrose, Penrose, Auckland",09 580 9326,,09 580 9385
Napier,,"43 Corunna Bay, Napier",06 843 3113,,
National Accounts,,Corner Leonard and Penrose Rds,09 525 1920,,09 580 9812
North Shore,,"5 Arrenway Drive, Albany, North Shore City",,9690,
Palmerston North,,"Cnr John F Kennedy & Fairs Roads, 201 John F Kennedy Drive, Palmerston North",06 356 1008,,
Porirua Cars,,"9 John Seddon Drive, Elsdon, Wellington",04 587 1400,,
Support Office,,"Cnr Penrose & Leonard Rds, Penrose, Auckland",09 525 1920,,
Tauranga,,"26 Hull Rd, Mt Maunganui, Tauranga",07 575 6500,,
Tauranga Trucks,,"16 Hull Road, Mt Maunganui, Tauranga",,,
Turners Finance,,"Cnr Penrose & Leonard Rds, Penrose, Auckland",09 525 1920,,
Turners Trucks (Auckland),,"160 Roscommon Rd, Wiri, Auckland",09 580 9386,,
Wellington Damaged & EOL,,"64 Seaview Rd, Seaview, Wellington",04-587-1436,,
Wellington General Goods,,"64 Seaview Rd, Seaview, Wellington",04 587 1400,,
Wellington Trucks,,"64 Seaview Rd, Seaview, Wellington",04 587 1400,,
Whangarei,,"13-15 Dyer St, Whangarei",09 438 4765,,
